# Obligatorio | Identificador de contenido único del artículo. Se recomienda usar el SKU del artículo. Cada identificador de contenido debe aparecer una sola vez en el catálogo. Para publicar anuncios dinámicos; este identificador debe coincidir exactamente con el identificador de contenido del mismo artículo en el código del píxel de Facebook. Límite de caracteres: 100.,# Obligatorio | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Obligatorio | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Obligatorio | The current availability of the item. | Valores compatibles: in stock; out of stock,# Obligatorio | The current condition of the item. | Valores compatibles: new; used,# Obligatorio | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Obligatorio | URL de la página del producto específica donde las personas pueden comprar el artículo.,# Obligatorio | URL de la imagen principal de tu artículo. Las imágenes deben estar en un formato compatible (JPG/GIF/PNG) y su tamaño debe ser de 500 x 500 píxeles como mínimo.,# Obligatorio | Marca del artículo. En su lugar; también puedes ingresar un número único de pieza del fabricante (MPN) o un número mundial de artículo comercial (GTIN). Un GTIN puede ser uno de los números siguientes: UPC; EAN; JAN o ISBN. Límite de caracteres: 100.,# Opcional | Categoría de productos de Google para el artículo. Obtén más información sobre las categorías de productos: https://www.facebook.com/business/help/526764014610932.,# Opcional | Categoría de productos de Facebook para el artículo. Obtén más información sobre las categorías de productos: https://www.facebook.com/business/help/526764014610932.,# Opcional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Opcional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,"# Opcional | Intervalo del período de oferta; incluidas la fecha y la hora o zona horaria del inicio y la finalización de la oferta. Si no ingresas las fechas; los artículos con el campo ""sale_price"" permanecerán en oferta hasta que elimines el precio de oferta. Usa este formato: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Ingresa la fecha de inicio de la siguiente manera: YYYY-MM-DD. Escribe una ""T"". A continuación; ingresa la hora de inicio en formato de 24 horas (00:00 a 23:59) seguida de la zona horaria UTC (-12:00 a +14:00). Escribe una barra (""/"") y repite el mismo formato para la fecha y hora de finalización. En la siguiente fila de ejemplo se usa la zona horaria del Pacífico (-08:00).",# Opcional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Opcional | Género de una persona a la que se dirige el artículo. | Valores compatibles: female; male; unisex,# Opcional | Color del artículo. Usa una o más palabras para describir el color. No uses un código hexadecimal. Límite de caracteres: 200.,# Opcional | Tamaño o talle del artículo escrito como una palabra; abreviatura o número. Por ejemplo: pequeño; XL o 12. Límite de caracteres: 200.,# Opcional | Grupo de edad al que se dirige el artículo. | Valores compatibles: adult; all ages; infant; kids; newborn; teen; toddler,# Opcional | Material con el que se fabricó el artículo; como algodón; denim o cuero. Límite de caracteres: 200.,# Opcional | Estampado o impresión gráfica del artículo. Límite de caracteres: 100.,"# Opcional | Detalles de envío del artículo; con el siguiente formato: ""País:Región:Servicio:Precio"". Incluye el código de divisa ISO 3 de 3 l4217tras en el precio. Para usar el texto superpuesto ""Envío gratuito"" en tus anuncios; ingresa un precio de ""0.0"". Usa "";"" para separar varios detalles de envío para distintas regiones o países. Solo las personas de una región o país especificado verán los detalles de envío correspondientes a su ubicación. Puedes omitir la región (conserva ambos signos ""::"") si los detalles de envío son los mismos para todo el país.",# Opcional | Peso del envío del artículo. Incluye la unidad de medida (lb/oz/g/kg).,,,,,,,,,,,,,
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,,,,,,,,,,,,,
9,Camión de Escuela,Nuevo original y sellado.,in stock,new,990 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://playmobileros.com/1389-tm_cart_default/5680-autobus-escolar-esclusivo-eeuu-playmobil.jpg,Facebook,,,2,990 MXN,,,,,,,,,,,,,Camión de Escuela,,5680,4008789056801,City Life,Playmobil,12,2, $990.00 ,https://playmobileros.com/1389-tm_cart_default/5680-autobus-escolar-esclusivo-eeuu-playmobil.jpg,1
10,Ambulancia de Rescate,Nuevo original y sellado.,in stock,new,990 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://m.media-amazon.com/images/I/91X3o50SEzL._AC_SL1500_.jpg,Facebook,,,2,990 MXN,,,,,,,,,,,,,Ambulancia de Rescate,,5681,4008789056818,City Action,Playmobil,20,2, $990.00 ,https://m.media-amazon.com/images/I/91X3o50SEzL._AC_SL1500_.jpg,1
1,Avión Summer Fun,Nuevo original y sellado.,in stock,new,950 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://http2.mlstatic.com/D_NQ_NP_2X_852848-MLM44756089255_012021-F.webp,Facebook,,,2,950 MXN,,,,,,,,,,,,,Avión Summer Fun,,6081,4008789060815,Summer Fun,Playmobil,42,2, $950.00 ,https://http2.mlstatic.com/D_NQ_NP_2X_852848-MLM44756089255_012021-F.webp,1
11,Clase de deportes de agua,Nuevo original y sellado.,in stock,new,720 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://lacajadelosclicks.com/wp-content/uploads/2020/04/playmobil-70090-clase-deportes-agua.png,Facebook,,,1,720 MXN,,,,,,,,,,,,,Clase de deportes de agua,,70090,4008789700902,Family Fun,Playmobil,73,1, $720.00 ,https://lacajadelosclicks.com/wp-content/uploads/2020/04/playmobil-70090-clase-deportes-agua.png,1
12,Volkswagen Beetle,"Por supuesto, el Beetle PLAYMOBIL tiene todos los rasgos característicos que lo hacen tan único, como los guardabarros curvos, el logo de VW, el parabrisas vertical, la pintura azul y el típico capó trasero con un motor boxer de 4 cilindros.",in stock,new,1250 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://m.media-amazon.com/images/I/71nVwW9rh-L._AC_SL1498_.jpg,Facebook,,,2,1250 MXN,,,,,,,,,,,,,Volkswagen Beetle,"Por supuesto, el Beetle PLAYMOBIL tiene todos los rasgos característicos que lo hacen tan único, como los guardabarros curvos, el logo de VW, el parabrisas vertical, la pintura azul y el típico capó trasero con un motor boxer de 4 cilindros.",70177,4008789701770,Volkswagen,Playmobil,52,2," $1,250.00 ",https://m.media-amazon.com/images/I/71nVwW9rh-L._AC_SL1498_.jpg,1
13,Niños con ternero,Nuevo original y sellado.,in stock,new,200 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://http2.mlstatic.com/D_NQ_NP_2X_923367-MLM44856885967_022021-F.webp,Facebook,,,1,200 MXN,,,,,,,,,,,,,Niños con ternero,,70155,4008789701558,Special PLUS,Playmobil,14,1, $200.00 ,https://http2.mlstatic.com/D_NQ_NP_2X_923367-MLM44856885967_022021-F.webp,1
1,Pescador,Nuevo original y sellado.,in stock,new,200 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://http2.mlstatic.com/D_NQ_NP_2X_752495-MLM41120566089_032020-F.webp,Facebook,,,1,200 MXN,,,,,,,,,,,,,Pescador,,70063,4008789700636,Special PLUS,Playmobil,17,1, $200.00 ,https://http2.mlstatic.com/D_NQ_NP_2X_752495-MLM41120566089_032020-F.webp,1
14,Sirena,Nuevo original y sellado.,in stock,new,200 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://http2.mlstatic.com/D_NQ_NP_2X_842213-MLM43183863572_082020-F.webp,Facebook,,,1,200 MXN,,,,,,,,,,,,,Sirena,,9355,4008789093554,Special PLUS,Playmobil,5,1, $200.00 ,https://http2.mlstatic.com/D_NQ_NP_2X_842213-MLM43183863572_082020-F.webp,1
15,Hada del Sol Con Unicornio,Nuevo original y sellado.,in stock,new,200 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://http2.mlstatic.com/D_NQ_NP_2X_943994-MLM40522557330_012020-F.webp,Facebook,,,1,200 MXN,,,,,,,,,,,,,Hada del Sol Con Unicornio,,9438,4008789094384,Special PLUS,Playmobil,5,1, $200.00 ,https://http2.mlstatic.com/D_NQ_NP_2X_943994-MLM40522557330_012020-F.webp,1
16,Volkswagen T1 Camping Bus," Con un estilo auténtico, el interior de la T1 ofrece una mesa plegable con dos asientos y un lavabo con nevera. Los bancos con el típico diseño de cuadros de los años 60 pueden convertirse en un área de descanso para dos personas. Las puertas laterales también pueden abrirse, una puerta incluye un estante para la comida y la otra un estante con bisagras y un espejo. El Volkswagen T1 Camping Bus: ¡sube, conduce y disfruta de la libertad! ",in stock,new,0 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/70176_product_box_front/Volkswagen%20T1%20Camping%20Bus?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,1,0 MXN,,,,,,,,,,,,,Volkswagen T1 Camping Bus," Con un estilo auténtico, el interior de la T1 ofrece una mesa plegable con dos asientos y un lavabo con nevera. Los bancos con el típico diseño de cuadros de los años 60 pueden convertirse en un área de descanso para dos personas. Las puertas laterales también pueden abrirse, una puerta incluye un estante para la comida y la otra un estante con bisagras y un espejo. El Volkswagen T1 Camping Bus: ¡sube, conduce y disfruta de la libertad! ",70176,4008789701763,Volkswagen,Playmobil,74,1, $-   ,"https://media.playmobil.com/i/playmobil/70176_product_box_front/Volkswagen%20T1%20Camping%20Bus?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
